,ABHPRK__1,ABHPRK__2,ABHPRK__3,ABHPRK__4,ABHPRK__5,ABHPRK__6,ABHPRK__7,ABHPRK__8,ABHPRK__9,ABHPRK__10,ABHPRK__11,ABHPRK__12,ABHPRK__13,ABHPRK__14,ABHPRK__15,ABHPRK__16,ABHPRK__17,ABHPRK__18,ABHPRK__19,ABHPRK__20,ABHPRK__21,ABHPRK__22,ABHPRK__23,ABHPRK__24,ABHPRK__25,ABHPRK__26,ABHPRK__27,ABHPRK__28,ABHPRK__29,ABHPRK__30,ABHPRK__31,ABHPRK__32,ABHPRK__33,ABHPRK__34,ABHPRK__35,ABHPRK__36,ABHPRK__37,ABHPRK__38,ABHPRK__39,ABHPRK__40,ABHPRK__41,ABHPRK__42,ABHPRK__43,ABHPRK__44,ABHPRK__45,ABHPRK__46,ABHPRK__47,ABHPRK__48,ABHPRK__49,ABHPRK__50,ABHPRK__51,ABHPRK__52,ABHPRK__53,ABHPRK__54,ABHPRK__55,ABHPRK__56,ABHPRK__57,ABHPRK__58,ABHPRK__59,ABHPRK__60,ABHPRK__61,ABHPRK__62,ABHPRK__63,ABHPRK__64,ABHPRK__65,ABHPRK__66,ABHPRK__67,ABHPRK__68,ABHPRK__69,ABHPRK__70,ABHPRK__71,ABHPRK__72,ABHPRK__73,ABHPRK__74,ABHPRK__75,ABHPRK__76,ABHPRK__77,ABHPRK__78,ABHPRK__79,ABHPRK__80,ABHPRK__81,ABHPRK__82,ABHPRK__83,ABHPRK__84,ABHPRK__85,ABHPRK__86,ABHPRK__87,ABHPRK__88,ABHPRK__89,ABHPRK__90,ABHPRK__91,ABHPRK__92,ABHPRK__93,ABHPRK__94,ABHPRK__95,ABHPRK__96,ABHPRK__97,ABHPRK__98,ABHPRK__99,ABHPRK__100,ABHPRK__101,ABHPRK__102,ABHPRK__103,ABHPRK__104,ABHPRK__105,y
peptide_pm_365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.1428571428571428,0.0,0.0,0.125,0.0666666666666666,0.0,0.0769230769230769,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.2,0.0,0.1538461538461538,0.25,0.0,0.1333333333333333,0.3571428571428571,0.2307692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.1333333333333333,0.0,0.0769230769230769,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
peptide_pm_366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3529411764705882,0.3125,0.2666666666666666,0.2142857142857142,0.1538461538461538,0.0,0.0,0.0,0.0714285714285714,0.0769230769230769,0.3529411764705882,0.3125,0.2666666666666666,0.2142857142857142,0.1538461538461538,0.0,0.0,0.0,0.0714285714285714,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.2352941176470588,0.0625,0.0666666666666666,0.1428571428571428,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.1764705882352941,0.0625,0.0,0.1428571428571428,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.3529411764705882,0.3125,0.2666666666666666,0.2142857142857142,0.1538461538461538,0.0,0.0,0.0,0.0714285714285714,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.1764705882352941,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
peptide_pm_367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3157894736842105,0.0,0.0,0.125,0.2,0.0,0.2777777777777778,0.2941176470588235,0.1875,0.0666666666666666,0.3157894736842105,0.0,0.0,0.125,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6842105263157895,0.4444444444444444,0.4117647058823529,0.5,0.6,0.0,0.2777777777777778,0.2941176470588235,0.1875,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3157894736842105,0.0,0.0,0.125,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
peptide_pm_368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4545454545454545,0.1,0.0,0.375,0.2857142857142857,0.0,0.3,0.4444444444444444,0.125,0.1428571428571428,0.4545454545454545,0.1,0.0,0.375,0.2857142857142857,0.0,0.2,0.2222222222222222,0.125,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.3,0.1111111111111111,0.375,0.4285714285714285,0.0,0.3,0.4444444444444444,0.125,0.1428571428571428,0.3636363636363636,0.2,0.1111111111111111,0.25,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.4545454545454545,0.1,0.0,0.375,0.2857142857142857,0.0,0.2,0.2222222222222222,0.125,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.3636363636363636,0.1,0.1111111111111111,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
peptide_pm_369,0.0333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037,0.0,0.0333333333333333,0.0344827586206896,0.0,0.0,0.0384615384615384,0.0,0.0,0.0,0.0,0.0384615384615384,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0357142857142857,0.0,0.0384615384615384,0.0,0.0344827586206896,0.0,0.074074074074074,0.0,0.1,0.0689655172413793,0.0357142857142857,0.037037037037037,0.0384615384615384,0.0,0.0,0.0,0.037037037037037,0.0,0.0,0.0,0.0,0.0,0.0384615384615384,0.2,0.0,0.0357142857142857,0.037037037037037,0.0384615384615384,0.0,0.0689655172413793,0.0714285714285714,0.074074074074074,0.0769230769230769,0.0,0.0344827586206896,0.0357142857142857,0.0,0.0,0.0,0.0689655172413793,0.0,0.037037037037037,0.0,0.4,0.2068965517241379,0.1071428571428571,0.1111111111111111,0.1538461538461538,0.0666666666666666,0.0,0.0,0.074074074074074,0.0769230769230769,0.0,0.0,0.0357142857142857,0.037037037037037,0.0384615384615384,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,1
peptide_pm_370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0434782608695652,0.0,0.0,0.05,0.0,0.0869565217391304,0.0909090909090909,0.0,0.05,0.1666666666666666,0.0434782608695652,0.0,0.0,0.05,0.0,0.0,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,0.4166666666666667,0.1739130434782608,0.0909090909090909,0.238095238095238,0.25,0.0,0.0,0.0909090909090909,0.1428571428571428,0.1,0.0833333333333333,0.0434782608695652,0.0,0.0,0.05,0.0,0.0869565217391304,0.0909090909090909,0.0,0.0,0.2083333333333333,0.0869565217391304,0.0454545454545454,0.0,0.05,0.0,0.0,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0454545454545454,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,1
peptide_pm_371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3157894736842105,0.0,0.2352941176470588,0.0,0.1333333333333333,0.0,0.3333333333333333,0.0,0.25,0.0,0.3157894736842105,0.0,0.2352941176470588,0.0625,0.1333333333333333,0.0,0.3333333333333333,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.4210526315789473,0.0,0.3529411764705882,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0588235294117647,0.25,0.0666666666666666,0.4210526315789473,0.0,0.3529411764705882,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3684210526315789,0.0,0.2352941176470588,0.125,0.1333333333333333,0.0,0.3333333333333333,0.0588235294117647,0.25,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.4210526315789473,0.0,0.3529411764705882,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
peptide_pm_372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.2142857142857142,0.0769230769230769,0.25,0.2727272727272727,0.0,0.2142857142857142,0.3846153846153846,0.1666666666666666,0.1818181818181818,0.4666666666666667,0.2142857142857142,0.0769230769230769,0.3333333333333333,0.3636363636363636,0.0,0.0,0.1538461538461538,0.1666666666666666,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.1428571428571428,0.0769230769230769,0.3333333333333333,0.2727272727272727,0.0,0.3571428571428571,0.3846153846153846,0.1666666666666666,0.1818181818181818,0.2666666666666666,0.1428571428571428,0.0769230769230769,0.0833333333333333,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.2142857142857142,0.1538461538461538,0.3333333333333333,0.3636363636363636,0.0,0.0714285714285714,0.1538461538461538,0.1666666666666666,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.2666666666666666,0.0,0.0769230769230769,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
peptide_pm_373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3529411764705882,0.125,0.0666666666666666,0.0714285714285714,0.0769230769230769,0.0,0.25,0.2,0.1428571428571428,0.2307692307692307,0.3529411764705882,0.125,0.0666666666666666,0.0714285714285714,0.0769230769230769,0.0,0.125,0.1333333333333333,0.0714285714285714,0.1538461538461538,0.0,0.0,0.0666666666666666,0.0714285714285714,0.0,0.4705882352941176,0.125,0.2,0.2857142857142857,0.1538461538461538,0.0,0.1875,0.2666666666666666,0.1428571428571428,0.2307692307692307,0.2352941176470588,0.125,0.1333333333333333,0.0714285714285714,0.1538461538461538,0.0,0.0625,0.0,0.0,0.0769230769230769,0.4117647058823529,0.125,0.0666666666666666,0.1428571428571428,0.1538461538461538,0.0588235294117647,0.125,0.1333333333333333,0.0714285714285714,0.1538461538461538,0.0,0.0,0.0666666666666666,0.0714285714285714,0.0,0.2941176470588235,0.0,0.0666666666666666,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0588235294117647,0.0,0.0,0.0,0.0,1
peptide_pm_374,0.032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032258064516129,0.0333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1935483870967742,0.0333333333333333,0.0,0.0,0.1111111111111111,0.0,0.0666666666666666,0.1379310344827586,0.1071428571428571,0.0,0.1935483870967742,0.0666666666666666,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3225806451612903,0.1,0.0,0.1785714285714285,0.1481481481481481,0.0,0.1,0.1724137931034483,0.1071428571428571,0.1111111111111111,0.032258064516129,0.0333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3225806451612903,0.1,0.0,0.0357142857142857,0.1481481481481481,0.032258064516129,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.064516129032258,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
peptide_pm_375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0416666666666666,0.0,0.0,0.0476190476190476,0.0,0.0,0.0434782608695652,0.0454545454545454,0.0476190476190476,0.16,0.0416666666666666,0.0,0.0,0.0952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0416666666666666,0.0,0.0454545454545454,0.1428571428571428,0.0,0.0833333333333333,0.217391304347826,0.0909090909090909,0.0,0.12,0.0416666666666666,0.0,0.0909090909090909,0.0476190476190476,0.0,0.0,0.0,0.0,0.0,0.28,0.0416666666666666,0.0434782608695652,0.0454545454545454,0.1428571428571428,0.04,0.0416666666666666,0.0869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0416666666666666,0.0,0.0454545454545454,0.0476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
peptide_pm_376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4210526315789473,0.1111111111111111,0.0588235294117647,0.1875,0.2666666666666666,0.0,0.2222222222222222,0.1176470588235294,0.125,0.1333333333333333,0.4210526315789473,0.1111111111111111,0.1176470588235294,0.1875,0.2666666666666666,0.0,0.2222222222222222,0.1764705882352941,0.125,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.3157894736842105,0.0555555555555555,0.1176470588235294,0.0625,0.0666666666666666,0.0,0.1666666666666666,0.1764705882352941,0.25,0.0666666666666666,0.3157894736842105,0.1111111111111111,0.1176470588235294,0.125,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.4736842105263157,0.1666666666666666,0.1764705882352941,0.1875,0.2666666666666666,0.0526315789473684,0.2222222222222222,0.1764705882352941,0.125,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.3684210526315789,0.1111111111111111,0.1176470588235294,0.125,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
peptide_pm_377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.05,0.0,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.0909090909090909,0.0476190476190476,0.05,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4090909090909091,0.1428571428571428,0.0,0.2105263157894736,0.3333333333333333,0.0,0.0952380952380952,0.3,0.1052631578947368,0.0555555555555555,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.3181818181818182,0.0952380952380952,0.05,0.1578947368421052,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526315789473684,0.0,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0454545454545454,0.0,0.0,0.0,0.0,1
peptide_pm_378,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.0,0.0,0.0,0.0,0.0,0.0588235294117647,0.0625,0.0,0.0526315789473684,0.0555555555555555,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.3684210526315789,0.1111111111111111,0.0,0.125,0.2666666666666666,0.0,0.2222222222222222,0.2941176470588235,0.0625,0.1333333333333333,0.3684210526315789,0.1111111111111111,0.0588235294117647,0.3125,0.2666666666666666,0.0,0.0,0.1764705882352941,0.0625,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.4736842105263157,0.1666666666666666,0.0588235294117647,0.3125,0.3333333333333333,0.0,0.3333333333333333,0.4117647058823529,0.1875,0.1333333333333333,0.2631578947368421,0.1666666666666666,0.0588235294117647,0.0625,0.2,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.2222222222222222,0.1176470588235294,0.3125,0.4,0.0,0.0555555555555555,0.1764705882352941,0.1875,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.2631578947368421,0.0,0.0588235294117647,0.0,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
peptide_pm_379,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0384615384615384,0.04,0.0,0.0357142857142857,0.037037037037037,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.037037037037037,0.0,0.04,0.0833333333333333,0.0,0.037037037037037,0.0769230769230769,0.08,0.0,0.1428571428571428,0.037037037037037,0.0,0.04,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.1851851851851851,0.0384615384615384,0.12,0.2083333333333333,0.0,0.1481481481481481,0.1923076923076923,0.12,0.0416666666666666,0.0357142857142857,0.037037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.074074074074074,0.0,0.08,0.2083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
peptide_pm_380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0434782608695652,0.0,0.0,0.05,0.0,0.0869565217391304,0.0454545454545454,0.0,0.05,0.1666666666666666,0.0434782608695652,0.0,0.0,0.05,0.0,0.0,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,0.4166666666666667,0.1739130434782608,0.0909090909090909,0.238095238095238,0.25,0.0,0.0434782608695652,0.1363636363636363,0.238095238095238,0.1,0.0833333333333333,0.0434782608695652,0.0,0.0,0.0,0.0,0.0434782608695652,0.0909090909090909,0.0,0.0,0.25,0.0869565217391304,0.0454545454545454,0.0,0.1,0.0,0.0,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0454545454545454,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,1
peptide_pm_381,0.032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.037037037037037,0.032258064516129,0.0333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.0,0.0344827586206896,0.0,0.037037037037037,0.0,0.0333333333333333,0.0,0.0357142857142857,0.037037037037037,0.0967741935483871,0.0666666666666666,0.0344827586206896,0.0714285714285714,0.037037037037037,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.2258064516129032,0.0666666666666666,0.0344827586206896,0.0357142857142857,0.074074074074074,0.0,0.0333333333333333,0.0344827586206896,0.0714285714285714,0.074074074074074,0.032258064516129,0.0333333333333333,0.0344827586206896,0.0,0.0,0.0,0.0666666666666666,0.0344827586206896,0.0357142857142857,0.0,0.3548387096774194,0.1666666666666666,0.1379310344827586,0.1071428571428571,0.1481481481481481,0.032258064516129,0.0,0.0,0.0714285714285714,0.074074074074074,0.0,0.0,0.0344827586206896,0.0,0.037037037037037,0.064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0344827586206896,0.0,0.0,0.064516129032258,0.0,0.0,0.0,0.0,1
peptide_pm_382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0666666666666666,0.0,0.0,0.0,0.0,0.0666666666666666,0.1428571428571428,0.0769230769230769,0.0,0.125,0.0666666666666666,0.0,0.0769230769230769,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.2,0.0,0.1538461538461538,0.25,0.0,0.2,0.4285714285714285,0.2307692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.2,0.0,0.0769230769230769,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
peptide_pm_383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0714285714285714,0.0,0.0,0.0909090909090909,0.0,0.0714285714285714,0.1538461538461538,0.0833333333333333,0.0909090909090909,0.2,0.0714285714285714,0.0,0.0833333333333333,0.1818181818181818,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.1428571428571428,0.0769230769230769,0.25,0.2727272727272727,0.0,0.2857142857142857,0.3076923076923077,0.1666666666666666,0.0,0.0666666666666666,0.0714285714285714,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.4,0.0714285714285714,0.0769230769230769,0.1666666666666666,0.1818181818181818,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
peptide_pm_384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.1333333333333333,0.0714285714285714,0.0769230769230769,0.0,0.0,0.1333333333333333,0.0714285714285714,0.1538461538461538,0.1666666666666666,0.3125,0.1333333333333333,0.0714285714285714,0.1538461538461538,0.0,0.0,0.0666666666666666,0.0714285714285714,0.1538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.1428571428571428,0.0,0.0833333333333333,0.0,0.0,0.0714285714285714,0.0,0.0833333333333333,0.125,0.0,0.1428571428571428,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.375,0.1333333333333333,0.1428571428571428,0.2307692307692307,0.0833333333333333,0.0625,0.0666666666666666,0.0714285714285714,0.1538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
peptide_pm_385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0714285714285714,0.0,0.1666666666666666,0.2727272727272727,0.0,0.2857142857142857,0.3076923076923077,0.1666666666666666,0.0909090909090909,0.3333333333333333,0.0714285714285714,0.0,0.1666666666666666,0.2727272727272727,0.0,0.0714285714285714,0.2307692307692307,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3571428571428571,0.3076923076923077,0.5,0.5454545454545454,0.0,0.2857142857142857,0.3846153846153846,0.1666666666666666,0.0909090909090909,0.3333333333333333,0.2857142857142857,0.0769230769230769,0.25,0.3636363636363636,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0714285714285714,0.0,0.1666666666666666,0.2727272727272727,0.0,0.0714285714285714,0.2307692307692307,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.25,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
peptide_pm_386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0416666666666666,0.0,0.0,0.0476190476190476,0.0,0.0,0.0434782608695652,0.0454545454545454,0.0476190476190476,0.16,0.0833333333333333,0.0,0.0454545454545454,0.1428571428571428,0.0,0.0416666666666666,0.0,0.0454545454545454,0.0476190476190476,0.0,0.0,0.0,0.0,0.0,0.28,0.0416666666666666,0.0,0.0454545454545454,0.1428571428571428,0.0,0.0833333333333333,0.2608695652173913,0.1363636363636363,0.0,0.12,0.0416666666666666,0.0434782608695652,0.1363636363636363,0.0476190476190476,0.0,0.0,0.0,0.0,0.0,0.4,0.1666666666666666,0.0434782608695652,0.1818181818181818,0.238095238095238,0.16,0.1666666666666666,0.0869565217391304,0.0454545454545454,0.0952380952380952,0.0,0.0,0.0,0.0,0.0,0.28,0.0833333333333333,0.0,0.0454545454545454,0.0952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
